tweet_id,source,text,rating_numerator,rating_denominator,name,year,month,day,hour,minute,dog_stage,img_num,p1,p1_dog,p2,p2_dog,p3,p3_dog,retweet_count,favorite_count
890240255349198849,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,Cassie,2017,7,26,15,59,doggo,1.0,Pembroke,True,Cardigan,True,Chihuahua,True,7711,32467
889665388333682689,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,13,10,,2017,7,25,1,55,puppo,1.0,Pembroke,True,Cardigan,True,basenji,True,8538,38818
889531135344209921,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13,10,Stuart,2017,7,24,17,2,puppo,1.0,golden_retriever,True,Labrador_retriever,True,redbone,True,2321,15359
886366144734445568,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,12,10,Roscoe,2017,7,15,23,25,pupper,1.0,French_bulldog,True,Chihuahua,True,Boston_bull,True,3316,21524
884162670584377345,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,12,10,Yogi,2017,7,9,21,29,doggo,1.0,German_shepherd,True,malinois,True,Norwegian_elkhound,True,3128,20771
883360690899218434,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck https://t.co/rf661IFEYP,13,10,Grizzwald,2017,7,7,16,22,floofer,1.0,chow,True,Tibetan_mastiff,True,Newfoundland,True,3825,22986
882762694511734784,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl https://t.co/D43I96SlVu,12,10,Gus,2017,7,6,0,46,pupper,1.0,Labrador_retriever,True,Chesapeake_Bay_retriever,True,flat-coated_retriever,True,5134,28903
881536004380872706,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Here is a pupper approaching maximum borkdrive. Zooming at never before seen speeds. 14/10 paw-inspiring af 
(IG: puffie_the_chow) https://t.co/ghXBIIeQZF",14,10,a,2017,7,2,15,32,pupper,1.0,Samoyed,True,Angora,False,Persian_cat,False,16570,50199
878776093423087618,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Snoopy. He's a proud #PrideMonthPuppo. Impeccable handwriting for not having thumbs. 13/10 would love back #PrideMonth https://t.co/lNZwgNO4gS,13,10,Snoopy,2017,6,25,0,45,puppo,2.0,Italian_greyhound,True,whippet,True,Ibizan_hound,True,4319,19763
876838120628539392,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Ginger. She's having a ruff Monday. Too many pupper things going on. H*ckin exhausting. 12/10 would snug passionately https://t.co/j211oCDRs6,12,10,Ginger,2017,6,19,16,24,pupper,1.0,bloodhound,True,redbone,True,Tibetan_mastiff,True,3506,21125
874296783580663808,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Jed. He may be the fanciest pupper in the game right now. Knows it too. 13/10 would sign modeling contract https://t.co/0YplNnSMEm,13,10,Jed,2017,6,12,16,6,pupper,1.0,cocker_spaniel,True,miniature_poodle,True,toy_poodle,True,4308,26651
